trip_id,cab_id,start_ts,end_ts,duration_seconds,distance_miles,pickup_location_id,dropoff_location_id
67,3909,2017-11-14 3:00,2017-11-14 3:00,557,1.1,0,0
68,3909,2017-11-11 2:00,2017-11-11 2:00,530,2.1,0,0
69,3909,2017-11-12 2:00,2017-11-12 2:00,301,1.2,0,0
70,3909,2017-11-17 0:00,2017-11-17 0:00,177,0.3,0,0
71,3909,2017-11-24 2:00,2017-11-24 2:00,50,0.1,0,0
72,3909,2017-11-29 23:00,2017-11-29 23:00,162,0.4,0,0
73,3909,2017-11-24 2:00,2017-11-24 2:00,234,1.1,0,0
74,3909,2017-11-24 7:00,2017-11-24 7:00,244,1,0,0
75,3909,2017-11-26 2:00,2017-11-26 3:00,1665,8.7,0,0
76,3909,2017-11-27 0:00,2017-11-27 0:00,225,0.9,0,0
77,3909,2017-11-04 2:00,2017-11-04 2:00,658,2.4,0,0
78,3936,2017-11-05 14:00,2017-11-05 14:00,2,0,0,0
79,53,2017-11-14 3:00,2017-11-14 3:00,120,1,0,0
80,38,2017-11-10 13:00,2017-11-10 13:00,0,0,0,0
81,1542,2017-11-20 8:00,2017-11-20 8:00,60,0.2,0,0
82,1488,2017-11-07 0:00,2017-11-07 2:00,3512,20.03,0,0
83,1488,2017-11-06 4:00,2017-11-06 4:00,11,0.02,0,0
84,1488,2017-11-04 4:00,2017-11-04 4:00,357,1.2,0,0
85,4005,2017-11-21 6:00,2017-11-21 6:00,3,0,0,0
86,19,2017-11-02 0:00,2017-11-02 0:00,180,0.8,0,0
87,19,2017-11-05 2:00,2017-11-05 2:00,240,1.2,0,0
88,4077,2017-11-28 0:00,2017-11-28 0:00,293,1.2,0,0
89,4077,2017-11-25 18:00,2017-11-25 18:00,1,0,0,0
90,4416,2017-11-26 5:00,2017-11-26 5:00,306,1.4,0,0
91,1560,2017-11-24 0:00,2017-11-24 0:00,12,0.01,0,0
92,1509,2017-11-16 9:00,2017-11-16 9:00,274,0.7,0,0
93,4648,2017-11-18 20:00,2017-11-18 21:00,58,0.1,0,0
94,3933,2017-11-05 18:00,2017-11-05 19:00,1793,4.5,0,0
95,3933,2017-11-09 14:00,2017-11-09 15:00,3186,15.1,0,0
96,3933,2017-11-01 11:00,2017-11-01 11:00,255,1.1,0,0
97,3933,2017-11-17 10:00,2017-11-17 10:00,81,0.1,0,0
98,3933,2017-11-25 23:00,2017-11-25 23:00,96,0.4,0,0
99,3933,2017-11-28 14:00,2017-11-28 14:00,14,0,0,0
100,4614,2017-11-18 4:00,2017-11-18 4:00,1,0,0,0
